City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
212,Nagato,JP,75.56,overcast clouds,34.3833,131.2,いそう庵
213,Daru,PG,78.58,broken clouds,-9.0763,143.2092,Daru Lodge
216,La Cruz,MX,84.4,overcast clouds,23.9167,-106.9,Jesús angel
217,Vila Franca Do Campo,PT,77.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
220,Carbondale,US,85.05,clear sky,37.7273,-89.2168,Best Western Saluki Inn
224,Kavaratti,IN,77.95,moderate rain,10.5669,72.642,Green leaf
226,Shimoda,JP,81.07,light rain,34.6667,138.95,Shimoda Tokyu Hotel
227,Sao Caetano De Odivelas,BR,76.51,scattered clouds,-0.75,-48.02,Lá Kitano
228,Buala,SB,81.37,light rain,-8.145,159.5921,Maringe Lagoon Lodge
229,Sinnamary,GF,79.43,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
230,Black River,JM,83.89,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
231,Huilong,CN,75.92,light rain,31.8111,121.655,Hilton Garden Inn Qidong
232,Keti Bandar,PK,81.05,clear sky,24.1447,67.4497,Haji laloo memon house
233,Pauini,BR,88.25,scattered clouds,-7.7136,-66.9764,Casa do Kiwliks
236,Mangrol,IN,80.06,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
238,Mazagao,BR,87.85,overcast clouds,-0.115,-51.2894,Recanto dos Ferreiras
240,Santa Pola,ES,84.16,clear sky,38.1917,-0.5658,Patilla
242,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
243,Meulaboh,ID,75.58,moderate rain,4.1363,96.1285,Kost Pria
244,Bansi,IN,77.5,heavy intensity rain,27.1833,82.9333,सबलू गाडी धुलाई सेंटर
259,Bang Saphan,TH,77.5,overcast clouds,11.2126,99.5117,Ladawan Boutique Hotel
263,Sokoto,NG,80.74,light rain,13.0609,5.239,Grand Ibro Hotel
266,Almunecar,ES,82.69,broken clouds,36.7339,-3.6907,Almuñécar Playa Spa Hotel
271,Mandera,KE,77.56,scattered clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
273,Champerico,GT,81.14,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
274,San Cristobal,VE,80.78,scattered clouds,7.7669,-72.225,Pirineos
279,Methoni,GR,76.21,clear sky,36.8197,21.7049,Methoni Beach Hotel
282,Dzaoudzi,YT,75.09,broken clouds,-12.7887,45.2699,Le Rocher
285,Gewane,ET,81.0,light rain,10.1664,40.6453,እንደገና ገዋኔ ሞቴል
289,Guanica,PR,84.06,broken clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
290,Devils Lake,US,87.94,clear sky,48.1128,-98.8651,"Holiday Inn Express Devils Lake, an IHG Hotel"
293,Bandarbeyla,SO,76.19,overcast clouds,9.4942,50.8122,JABIR HOTEL
294,Dingle,PH,76.23,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
296,Coahuayana,MX,88.54,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
298,San Patricio,US,89.55,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
301,George Town,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
302,Nanakuli,US,87.75,broken clouds,21.3906,-158.1547,Camp Pālehua
306,Doha,QA,89.58,clear sky,25.2867,51.5333,Mövenpick Doha
308,Hasaki,JP,82.8,scattered clouds,35.7333,140.8333,Inubosaki Kanko Hotel
311,Buchanan,LR,75.61,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
313,Batticaloa,LK,75.34,overcast clouds,7.7102,81.6924,Grand Star Guest House
315,Owase,JP,83.17,overcast clouds,34.0667,136.2,Business Hotel Phoenix
325,Ponta Delgada,PT,77.5,broken clouds,37.7333,-25.6667,Vila Nova Hotel
328,Mouila,GA,75.29,broken clouds,-1.8685,11.0559,Hôtel du Lac Bleu
338,Manati,PR,84.06,broken clouds,18.4275,-66.4921,Manati World Point Inn
340,Itupiranga,BR,84.52,clear sky,-5.1347,-49.3267,Hotel Panorama
349,Hirara,JP,84.06,light intensity shower rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
350,Chauk,MM,81.18,overcast clouds,20.8833,94.8167,Bo Khin Guest House
351,Santa Isabel Do Rio Negro,BR,79.12,overcast clouds,-0.4139,-65.0192,Hotel GSA
352,Kahului,US,86.02,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
353,Waterloo,CA,75.78,few clouds,43.4668,-80.5164,The Walper Hotel
357,Honolulu,US,87.62,scattered clouds,21.3069,-157.8583,Aston at the Executive Centre Hotel
359,Liberal,US,88.84,few clouds,37.0431,-100.921,Hampton Inn & Suites Liberal
362,Funadhoo,MV,77.49,overcast clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
363,Tabuk,PH,76.14,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
364,Seaside,US,81.52,clear sky,36.6111,-121.8516,Embassy Suites by Hilton Monterey Bay Seaside
365,Linay,PH,78.98,overcast clouds,8.5167,123.1333,Harold Cabrera Cottage
377,Mersing,MY,75.11,scattered clouds,2.4312,103.8405,Timotel Hotel
381,Sur,OM,84.36,clear sky,22.5667,59.5289,Sur Plaza Hotel
384,Celestun,MX,84.56,broken clouds,20.8667,-90.4,Posada Lilia
385,Puerto Carreno,CO,78.78,broken clouds,6.189,-67.4859,Casa Hotel Victoria
392,Rambha,IN,82.06,overcast clouds,19.5167,85.1,OTDC Panthanivas - Rambha
393,Cedral,MX,82.31,overcast clouds,23.8,-100.7333,Hotel Rocio
396,Labuhan,ID,76.57,scattered clouds,-6.8844,112.2051,DoubleFAG
398,Turayf,SA,86.25,clear sky,31.6725,38.6637,Turaif
399,Zhangzhou,CN,84.13,overcast clouds,24.5133,117.6556,Crowne Plaza Zhangzhou
400,Gimli,CA,82.42,clear sky,50.6336,-96.9907,Lakeview Gimli Resort
406,Tutoia,BR,78.55,clear sky,-2.7619,-42.2744,Pousada Guará's
417,Umm Lajj,SA,89.94,clear sky,25.0213,37.2685,Moon light Furnished Units
419,Steamboat Springs,US,89.35,clear sky,40.485,-106.8317,Steamboat Grand
422,Atar,MR,87.94,light rain,20.5169,-13.0499,Oumou Elghoura
423,Katsuura,JP,81.55,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
425,Isangel,VU,78.91,scattered clouds,-19.55,169.2667,Tanna Lodge
426,Tautira,PF,76.96,light rain,-17.7333,-149.15,Pension Oaoa
427,Bangaon,IN,79.9,overcast clouds,23.0667,88.8167,Ajoy
430,Suez,EG,76.14,clear sky,29.9737,32.5263,Green House
436,Nchelenge,ZM,79.07,broken clouds,-9.3451,28.734,KD Travellers Home
437,Pasaquina,SV,86.45,overcast clouds,13.5844,-87.8411,Hotel San Carlos
441,Anloga,GH,75.31,scattered clouds,5.7947,0.8973,Pin Drop Hotel
442,Kalianget,ID,80.11,broken clouds,-7.05,113.9333,Pesanggrahan Garam
444,Kantang,TH,76.28,overcast clouds,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
445,Port Said,EG,80.58,scattered clouds,31.2565,32.2841,Aracan Hotel
447,Cayenne,GF,78.84,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
448,Kerema,PG,80.96,broken clouds,-7.9631,145.7785,Frena Lodge
449,Alamosa,US,80.58,clear sky,37.4695,-105.87,Best Western Alamosa Inn
454,Isla Mujeres,MX,82.45,broken clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
456,Nichinan,JP,80.28,light rain,31.6,131.3667,Guest House Aki
459,Puerto Asis,CO,76.24,broken clouds,0.5133,-76.5007,Ayawaska Hostal
462,Guerrero Negro,MX,79.38,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
465,Katobu,ID,75.7,scattered clouds,-4.9408,122.5276,La Ode Husein
470,Ranong,TH,77.43,broken clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
473,Cozumel,MX,86.07,broken clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
474,Kailua,US,87.78,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
475,Jacmel,HT,85.84,overcast clouds,18.2342,-72.5347,Historic Hotel Florita
480,Sibolga,ID,75.42,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
483,Novo Aripuana,BR,84.33,scattered clouds,-5.1206,-60.3797,Hotel Ezequiel
484,Itoman,JP,84.97,shower rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
485,Kieta,PG,81.01,light rain,-6.2167,155.6333,Uruna Bay Retreat
490,Gat,IL,81.81,clear sky,31.61,34.7642,OlusHome
491,Port Blair,IN,81.27,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
497,Alta Floresta,BR,84.7,few clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
498,Sharjah,AE,89.58,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
501,Lac Du Bonnet,CA,83.34,clear sky,50.2536,-96.0612,Drifter's Inn
508,Nizwa,OM,82.65,clear sky,22.9333,57.5333,Orient Apartments
516,Clinton,US,82.72,few clouds,42.587,-82.9199,River's Edge
518,Chichimila,MX,82.38,overcast clouds,20.6167,-88.2167,Casa Kiin
520,Mancio Lima,BR,87.87,scattered clouds,-7.6142,-72.8958,Motel Asas Do Desejo
527,Tecoanapa,MX,85.23,scattered clouds,16.5167,-98.75,Hotel Manglares
529,Nhulunbuy,AU,77.61,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
530,Vaitape,PF,78.67,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
532,Marsa Matruh,EG,77.14,clear sky,31.3525,27.2453,Beau Site
536,Muisne,EC,75.11,broken clouds,0.6,-80.0333,Quinta Samay
537,Lethem,GY,78.33,broken clouds,3.3803,-59.7968,Savannah Inn
538,Padang,ID,77.25,broken clouds,-0.9492,100.3543,Mercure Padang
539,Trairi,BR,77.94,clear sky,-3.2778,-39.2689,janelas do mar
541,Puri,IN,81.12,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
544,Barreirinhas,BR,78.6,scattered clouds,-2.7469,-42.8264,Gran Lençóis Flat Residence
