City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country,Date
59,Cabo San Lucas,22.8909,-109.9124,91.71,broken clouds,51,75,9.22,MX,2022-08-31 22:20:05
60,Yellowknife,62.456,-114.3525,61.32,broken clouds,72,75,8.05,CA,2022-08-31 22:23:30
61,Avarua,-21.2078,-159.775,78.85,scattered clouds,83,40,6.91,CK,2022-08-31 22:23:30
62,Norman Wells,65.282,-126.8329,66.24,scattered clouds,55,40,5.75,CA,2022-08-31 22:23:30
63,Nisia Floresta,-6.0911,-35.2086,79.18,overcast clouds,73,100,13.78,BR,2022-08-31 22:19:33
64,Namibe,-15.1961,12.1522,64.62,broken clouds,86,65,10.63,AO,2022-08-31 22:23:31
65,Richards Bay,-28.783,32.0377,59.05,broken clouds,70,61,5.01,ZA,2022-08-31 22:23:31
66,Koungheul,13.9833,-14.8,74.64,heavy intensity rain,95,100,8.41,SN,2022-08-31 22:23:32
67,Camacha,33.0833,-16.3333,69.22,scattered clouds,73,40,9.22,PT,2022-08-31 22:23:32
68,Hofn,64.2539,-15.2082,53.56,moderate rain,97,100,27.69,IS,2022-08-31 22:23:32
69,Naron,43.5167,-8.1528,65.25,scattered clouds,90,32,4.41,ES,2022-08-31 22:23:32
70,Mar Del Plata,-38.0023,-57.5575,57.09,clear sky,54,0,11.99,AR,2022-08-31 22:22:34
71,Nerchinskiy Zavod,51.3088,119.61,38.48,broken clouds,49,77,4.25,RU,2022-08-31 22:23:33
72,Bereda,43.2686,-7.5406,55.15,broken clouds,100,57,0.25,ES,2022-08-31 22:23:33
73,Cape Town,-33.9258,18.4232,72.01,clear sky,25,0,8.05,ZA,2022-08-31 22:20:34
74,Morant Bay,17.8815,-76.4093,85.62,overcast clouds,74,100,10.54,JM,2022-08-31 22:23:34
75,Omboue,-1.5746,9.2618,75.33,broken clouds,85,56,9.13,GA,2022-08-31 22:23:34
76,Pevek,69.7008,170.3133,33.19,overcast clouds,86,100,12.1,RU,2022-08-31 22:23:34
77,Bouar,5.934,15.596,66.16,moderate rain,98,100,0.36,CF,2022-08-31 22:23:34
78,Beyneu,45.3167,55.2,80.24,clear sky,21,0,14.58,KZ,2022-08-31 22:23:35
79,Tiksi,71.6872,128.8694,41.11,broken clouds,95,84,4.88,RU,2022-08-31 22:23:35
80,Kefamenanu,-9.4467,124.4781,68.58,broken clouds,91,70,2.82,ID,2022-08-31 22:23:35
81,Micheweni,-4.9667,39.8333,73.17,scattered clouds,80,41,7.83,TZ,2022-08-31 22:23:36
82,Saskylakh,71.9167,114.0833,39.4,light rain,97,100,12.95,RU,2022-08-31 22:23:36
83,Butaritari,3.0707,172.7902,81.99,clear sky,77,6,19.55,KI,2022-08-31 22:23:36
84,Shu,43.5983,73.7614,67.8,clear sky,20,0,5.55,KZ,2022-08-31 22:23:37
85,Phayao,19.25,100.25,72.88,overcast clouds,98,100,1.16,TH,2022-08-31 22:23:37
86,Caravelas,-17.7125,-39.2481,66.36,overcast clouds,78,98,8.75,BR,2022-08-31 22:23:37
87,Poum,-20.2333,164.0167,74.79,broken clouds,76,71,19.28,NC,2022-08-31 22:23:37
88,Urbana,40.1106,-88.2073,84.11,clear sky,54,0,7.0,US,2022-08-31 22:23:38
89,Adrar,20.5022,-10.0711,88.72,overcast clouds,38,100,2.77,MR,2022-08-31 22:23:38
90,Pozo Colorado,-23.4923,-58.7972,81.48,clear sky,32,0,5.84,PY,2022-08-31 22:24:38
91,Georgetown,5.4112,100.3354,82.33,few clouds,93,20,5.75,MY,2022-08-31 22:21:06
92,Cabedelo,-6.9811,-34.8339,75.87,overcast clouds,75,97,15.5,BR,2022-08-31 22:24:39
93,Abu Samrah,35.3029,37.1841,85.51,scattered clouds,38,39,5.77,SY,2022-08-31 22:24:39
94,Campbell River,50.0163,-125.2446,86.38,few clouds,37,20,3.44,CA,2022-08-31 22:24:39
95,Lambarene,-0.7001,10.2406,76.55,overcast clouds,76,95,6.02,GA,2022-08-31 22:24:40
96,Xai-Xai,-25.0519,33.6442,65.35,light rain,67,71,13.85,MZ,2022-08-31 22:24:40
97,Flinders,-34.5833,150.8552,58.17,few clouds,91,19,4.0,AU,2022-08-31 22:24:40
98,Paamiut,61.994,-49.6678,41.88,scattered clouds,77,27,12.44,GL,2022-08-31 22:24:41
99,Lorengau,-2.0226,147.2712,82.2,overcast clouds,80,87,10.4,PG,2022-08-31 22:22:02
100,Iqaluit,63.7506,-68.5145,46.13,overcast clouds,75,100,18.41,CA,2022-08-31 22:24:41
101,Saldanha,-33.0117,17.9442,64.45,scattered clouds,62,44,12.17,ZA,2022-08-31 22:20:28
102,Pitimbu,-7.4706,-34.8086,75.79,overcast clouds,76,100,14.9,BR,2022-08-31 22:24:41
103,Sakakah,29.9697,40.2064,89.17,clear sky,15,4,1.28,SA,2022-08-31 22:24:42
104,Hobart,-42.8794,147.3294,56.05,few clouds,73,20,8.05,AU,2022-08-31 22:21:58
105,Along,28.1667,94.7667,74.52,overcast clouds,99,100,0.89,IN,2022-08-31 22:24:42
106,Muros,42.7762,-9.0603,63.68,overcast clouds,90,88,4.5,ES,2022-08-31 22:24:42
107,Tura,25.5198,90.2201,73.96,overcast clouds,97,100,4.03,IN,2022-08-31 22:24:43
108,Mindelo,16.8901,-24.9804,80.15,overcast clouds,78,100,3.44,CV,2022-08-31 22:24:43
109,Smolenka,52.1352,113.4974,48.27,scattered clouds,61,28,8.95,RU,2022-08-31 22:24:43
110,Minsk,53.9,27.5667,47.95,scattered clouds,79,27,9.33,BY,2022-08-31 22:20:30
111,Bengkulu,-3.8004,102.2655,74.97,broken clouds,90,84,4.29,ID,2022-08-31 22:24:03
112,Upernavik,72.7868,-56.1549,39.94,overcast clouds,89,100,19.33,GL,2022-08-31 22:24:44
113,Sidvokodvo,-26.6282,31.4202,51.71,clear sky,69,0,0.83,SZ,2022-08-31 22:20:18
114,Carnarvon,-24.8667,113.6333,64.38,few clouds,40,11,16.84,AU,2022-08-31 22:24:44
115,Sola,-13.8833,167.55,75.87,overcast clouds,94,98,4.61,VU,2022-08-31 22:24:45
116,Cherskiy,68.75,161.3,39.2,overcast clouds,79,100,4.59,RU,2022-08-31 22:21:31
117,Rusape,-18.5278,32.1284,48.65,scattered clouds,81,30,9.4,ZW,2022-08-31 22:24:45
118,Kaitangata,-46.2817,169.8464,50.56,broken clouds,77,71,2.82,NZ,2022-08-31 22:24:45
119,Tilichiki,60.4667,166.1,49.39,clear sky,56,0,13.24,RU,2022-08-31 22:24:46
120,College,64.8569,-147.8028,64.58,broken clouds,60,75,6.91,US,2022-08-31 22:24:46
121,Atuona,-9.8,-139.0333,77.18,clear sky,67,6,22.21,PF,2022-08-31 22:24:46
